V1,AO_Liking,AO_Behavior,AO_Open,C2_Liking,C2_Behavior,C2_Open,C3_Liking,C3_Behavior,C3_Open,C4_Liking,C4_Behavior,C4_Open,C5_Liking,C5_Behavior,C5_Open,C6_Liking,C6_Behvavior,C6_Open,C7_Liking,C7_Behavior,C7_Open,IH,Villain,MAC,Distinctiveness,Consistency,Consensus,DistinctR,ConsistR,ConsenR,PConsensus1,PDistinct1,PConsist1,PConsensus2,PConsensus3,PDistinct2,PDistinct3,PConsist2,PConsist3,AttSpectrum,AttClosed,IntAtt1,IntAtt2,IntAtt3,IntAtt4,StimAtt1,StimAtt2,StimAtt3,CircAtt1,CircAtt2,CircAtt3,CharLike1,CharLike2,CharLike3,CharLike4,StoryLike1,StoryLike2,StoryLike3,StoryLike4,MoralDis1,MoralDis2,MoralDis3,MoralDis4,MoralDis5,Age,Ethnicity,Q102,Q104,Q105,Q106,Condition,Order
R_2ONGuCZHgXswPu9,4.00,4.00,I have never heard of Agent Orange,6.00,6.00,"I know that Spiderman's true identity is Peter Parker and his parents died so he had to live with his Uncle Ben and his Aunt May.  He did not always have superpowers, he got them when he was bitten by a radioactive spider. He loves MaryJane. ""With great power comes great responsibility.""",4.00,4.00,I don't know who Artemis is.,7.00,6.00,"Batman is really Bruce Wayne, a billionaire playboy who was orphaned at a young age. He has a butler named Alfred and has a bunch of cool gadgets that he keeps in the Bat Cave below Wayne Manor.  He sometimes has a sidekick named Robin and he is the sworn protector of Gotham City.  His most recognizable enemy is the Joker but he has also battled the Penguin, the riddler, poison Ivy, and many more. He does not have any super powers.",4.00,2.00,"I don't know anything about the Scarlet Witch, but I'm assuming she's a vilain",6.00,6.00,"He is one of the X-men and he is a mutant.  His mutant abilities allow him to grow and retract four long blades between each of his knuckles.  That's all I really know about him though.  Hugh Jackman portrays him in the many, many, many xmen movies that have come out.",4.00,4.00,I have no idea who static is,,,1,LD,LC,LS,0,0,0,2.00,2.00,3.00,2.00,4.00,6.00,3.00,2.00,3.00,3.00,2.00,7.00,5.00,7.00,7.00,7.00,7.00,6.00,1.00,1.00,7.00,5.00,2.00,3.00,4.00,6.00,6.00,6.00,6.00,3.00,5.00,5.00,2.00,5.00,21.00,1.00,2.00,3.00,2.00,,MAC,LD/LC/LS
R_1hT0FryKuZtGUlu,4.00,4.00,Nothing,6.00,6.00,Good guy,4.00,4.00,Nothing,7.00,7.00,He's a badass,7.00,6.00,She accidentally hurt a lot of people in Captain America: Civil War ,7.00,6.00,He kind of maims people a lot especially in Logan ,4.00,4.00,Nothing,,,1,LD,HC,LS,0,1,0,2.00,4.00,6.00,2.00,4.00,4.00,4.00,3.00,3.00,6.00,1.00,4.00,5.00,5.00,5.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,6.00,6.00,5.00,6.00,4.00,5.00,6.00,3.00,4.00,20.00,1.00,2.00,3.00,2.00,,MAC,LD/HC/LS
R_BLHMiTS5VyHQABX,5.00,3.00,Nothing,6.00,6.00,The original Spider man is the best!!,4.00,2.00,Nothing,7.00,6.00,He goes up against many villans (joker is my favorite),5.00,3.00,Nothing,5.00,6.00,Nothing,5.00,5.00,Nothing,,,1,HD,HC,LS,1,1,0,2.00,4.00,6.00,4.00,4.00,7.00,1.00,6.00,6.00,2.00,2.00,5.00,4.00,6.00,6.00,6.00,4.00,5.00,5.00,3.00,5.00,5.00,4.00,5.00,4.00,5.00,6.00,5.00,4.00,4.00,6.00,5.00,1.00,4.00,20.00,1.00,2.00,3.00,2.00,,MAC,HD/HC/LS
R_2AWRbI6rutHTOEN,4.00,4.00,I know nothing about Agent Orange.,6.00,6.00,I know that he is a protagonist and a hero.,4.00,4.00,I know nothing about Artemis.,4.00,6.00,I know that he is a protagonist and a hero.,4.00,4.00,I know nothing about Scarlet Witch.,4.00,4.00,I think that Wolverine is supposed to be a protagonist and a hero but I am not sure. I have not indulged in comics.,4.00,4.00,I think that Static is supposed to be a protagonist and a hero but I am not sure. I have not indulged in comics.,,,1,HD,LC,LS,1,0,0,2.00,7.00,3.00,3.00,3.00,6.00,5.00,2.00,3.00,5.00,1.00,5.00,5.00,6.00,5.00,5.00,5.00,5.00,4.00,2.00,5.00,2.00,3.00,3.00,4.00,3.00,5.00,5.00,3.00,3.00,6.00,3.00,2.00,5.00,18.00,11.00,2.00,1.00,1.00,2.00,MAC,HD/LC/LS
R_3NyLIbs5BE2NtJS,4.00,4.00,I just know he is a super hero or super villain. Do not know which and do not know anything about him.,7.00,6.00,He is a super-hero that got his powers from being bitten by a special spider. His real name is Peter Parker. Both his parents died and he has been raised by his aunt and uncle.,4.00,4.00,Do not know anything about her.,7.00,7.00,"His real name is Bruce Wayne. He protects Gotham city from numerous super-villains. He has no super powers, but he has many great technologies and great fighting skills.",4.00,4.00,Never heard of her before.,5.00,6.00,He is a super-hero who has sharp titanium knives that come out of his knuckles. He commonly works with other heroes. ,4.00,4.00,Never heard of him before.,,,1,HD,LC,HS,1,0,1,1.00,7.00,2.00,2.00,2.00,7.00,7.00,1.00,2.00,5.00,2.00,2.00,6.00,7.00,6.00,7.00,5.00,3.00,2.00,2.00,7.00,4.00,6.00,3.00,4.00,4.00,3.00,3.00,5.00,4.00,4.00,6.00,1.00,5.00,20.00,1.00,1.00,2.00,1.00,2.00,MAC,HD/LC/HS
R_1otC2GZNgEseMEj,4.00,4.00,I honestly do not know who agent orange is but he seems like a super hero ,7.00,6.00,I know that spider man got his powers from being bit by a spider and this made him have super human strength and accessed him with the ability to use spider webs for swinging around buildings and fighting crime and whatnot. He is in love with mary jane and is best friends with Harry. I can go on and on but I got to keep this 100 words or less.,4.00,4.00,I have no idea who Artemis is to be honest.,7.00,6.00,"I know that batman lives in Gotham city and both of his parents were killed in front of him. He is a very skilled human being and fights crime in the city against many enemies for example the joker, scarecrow, bane, and that penguin guy.",4.00,4.00,I do not know who Scarlet Witch is.,7.00,6.00,I do not know much about Wolverine at all just that he has sharp razor blades on his hands and fights against evil.,4.00,4.00,I do not know anything about Static.,,,1,LD,HC,HS,0,1,1,4.00,6.00,6.00,4.00,5.00,6.00,6.00,4.00,4.00,5.00,1.00,3.00,4.00,5.00,6.00,4.00,5.00,6.00,7.00,3.00,5.00,4.00,3.00,4.00,4.00,6.00,6.00,6.00,6.00,4.00,4.00,2.00,1.00,3.00,21.00,1.00,1.00,3.00,2.00,,MAC,LD/HC/HS
R_0xjB1SMrpQpdbbj,3.00,6.00,"I know the name Agent Orange came from the chemical the US Army used in Vietnam war to destroy the cover of trees and brush for the Vietcong, but I have never heard of this superhero.",6.00,6.00,"He was bit by a radioactive spider, has a love interest, shows love to his aunt and uncle, heartbreak from his parent's absence, and uses his powers for good.",5.00,3.00,Nothing,7.00,6.00,Love the batman movies. He is a determined hard worker that uses mental toughness and his grit as an edge over maybe more powerful opponents.,4.00,3.00,nothing,6.00,7.00,He has regeneration powers and he is a part of the xmen. I also loved these movies.,5.00,5.00,Nothing,,,1,HD,LC,LS,1,0,0,2.00,7.00,7.00,2.00,5.00,5.00,6.00,2.00,6.00,5.00,2.00,6.00,6.00,5.00,4.00,4.00,5.00,5.00,4.00,5.00,6.00,5.00,4.00,3.00,4.00,2.00,2.00,2.00,2.00,2.00,6.00,6.00,2.00,5.00,20.00,1.00,1.00,2.00,1.00,2.00,MAC,HD/LC/LS
R_eXOMeTU0PmeeuCR,4.00,4.00,I know nothing about this character,5.00,7.00,He is a superhero who was bit by a spider and now has superpowers that he uses to help save his city. i think.,4.00,4.00,I do not know who this character is.,4.00,4.00,I don't really know anything about batman.,4.00,4.00,I do not know who this character is.,4.00,4.00,I don't know anything about this character except i think he is a superhero....who is very fast.,4.00,4.00,I do not know this character.,,,1,LD,LC,HS,0,0,1,2.00,3.00,2.00,6.00,5.00,7.00,3.00,3.00,2.00,5.00,3.00,5.00,4.00,5.00,5.00,4.00,6.00,5.00,4.00,2.00,5.00,5.00,5.00,5.00,5.00,2.00,4.00,2.00,2.00,6.00,6.00,2.00,2.00,5.00,22.00,1.00,2.00,4.00,2.00,,MAC,LD/LC/HS
R_2rUEyt7jkarmNR6,4.00,4.00,I do not know anything about Agent Orange.,7.00,6.00,I have seen the spider man movies so I know the basis behind his character. He fights for good reasons. Hero type.,4.00,4.00,Nothing,7.00,6.00,He is a superhero that saves a made up town from villans such as the joker.,4.00,4.00,Nothing,4.00,4.00,I don't think I have ever heard of him,4.00,4.00,Nothing,,,1,HD,LC,HS,1,0,1,1.00,5.00,6.00,2.00,4.00,6.00,2.00,2.00,3.00,4.00,2.00,5.00,6.00,5.00,4.00,4.00,5.00,4.00,5.00,4.00,4.00,3.00,2.00,2.00,2.00,2.00,3.00,3.00,4.00,2.00,2.00,3.00,1.00,5.00,20.00,1.00,2.00,2.00,2.00,,MAC,HD/LC/HS
R_2XcAdcllNL5OjPu,4.00,5.00,He's a man in a orange suit,5.00,6.00,Spiderman was bitten by a spider and got super powers from that spider,4.00,4.00,I don't know anything,4.00,6.00,He's a hero,4.00,4.00,I don't know anything,4.00,5.00,He has retractable claws,4.00,4.00,I don't know anything,,,1,LD,LC,LS,0,0,0,2.00,2.00,1.00,2.00,3.00,6.00,5.00,2.00,4.00,5.00,1.00,6.00,4.00,3.00,6.00,5.00,5.00,3.00,2.00,2.00,4.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,1.00,3.00,21.00,1.00,2.00,3.00,2.00,,MAC,LD/LC/LS
R_1EcetdFofhYKnqm,4.00,4.00,I don't know anything about Agent Orange,5.00,6.00,He's a vigilante that got his powers from a radioactive spider and can shoot webs from his hands to swing around,4.00,4.00,Not familiar with Artemis,6.00,6.00,"Vigilante that sometimes gets a bad rap for the good he tries to do. A little misunderstood, but overall trying to help Gotham",4.00,4.00,Not familiar with Scarlet Witch,4.00,4.00,"I know of Wolverine from the live action x-men movies even though I've never watched them. Not familiar with what he does or how he acts, don't really have an opinion of him",4.00,4.00,Not familiar with Static,,,1,HD,LC,HS,1,0,1,3.00,6.00,2.00,4.00,4.00,6.00,6.00,2.00,2.00,2.00,2.00,4.00,5.00,5.00,5.00,6.00,5.00,5.00,4.00,3.00,5.00,4.00,4.00,4.00,4.00,5.00,3.00,5.00,3.00,3.00,5.00,4.00,2.00,4.00,20.00,1.00,2.00,3.00,2.00,,MAC,HD/LC/HS
R_3His1RLxpPOJros,4.00,4.00,nothing,5.00,6.00,"He is a superhero that got his powers from being bitten by a spider.  He is supposed to be a young teen that finds who he really is through this secret identity.  His goal is to protect the city from harm because that is how he lost a close family member.  His powers include shooting web, scaling walls and ceilings, and hanging upside down.",4.00,4.00,I've heard the name but don't know anything about her.,6.00,6.00,He has most of his ability because he's rich. Like an superhero his goal is to save his city- Gotham.  He's a pretty dark character and drives the bat mobile and has a cool voice. ,4.00,2.00,not much,5.00,6.00,if this is like the x-men movies he's super strong and has claws the extrude from his knuckles,4.00,4.00,nothing,,,1,LD,LC,HS,0,0,1,3.00,6.00,7.00,5.00,6.00,7.00,6.00,1.00,1.00,6.00,2.00,2.00,4.00,5.00,4.00,6.00,4.00,5.00,4.00,2.00,5.00,5.00,2.00,3.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,2.00,5.00,18.00,1.00,2.00,1.00,2.00,,MAC,LD/LC/HS
R_8HfpYF7EQOflEf7,4.00,4.00,nothing,6.00,6.00,a superhero,4.00,4.00,nothing,7.00,7.00,the best superhero,4.00,4.00,nothing,4.00,4.00,nothing,4.00,4.00,nothing,,,1,HD,LC,HS,1,0,1,4.00,5.00,5.00,4.00,2.00,4.00,4.00,4.00,4.00,5.00,1.00,4.00,4.00,4.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,5.00,4.00,3.00,4.00,3.00,5.00,4.00,4.00,20.00,1.00,2.00,3.00,2.00,,MAC,HD/LC/HS
R_2uPUxaCv8bdgEHE,4.00,6.00,Absolutely nothing ,6.00,6.00,I've seen most of the new spider man movies,4.00,5.00,Zero things ,5.00,5.00,I've seen the whole dark knight series ,4.00,6.00,I don't know anything ,3.00,5.00,Very little. I have seen a few X-Men movies ,4.00,5.00,Nothing ,,,1,LD,LC,HS,0,0,1,2.00,2.00,6.00,2.00,3.00,6.00,2.00,2.00,2.00,6.00,2.00,5.00,5.00,7.00,5.00,6.00,5.00,6.00,2.00,4.00,4.00,2.00,2.00,2.00,3.00,3.00,2.00,3.00,2.00,5.00,6.00,6.00,2.00,4.00,20.00,1.00,1.00,2.00,2.00,,MAC,LD/LC/HS
R_2eaNd4Z8QZEVtsZ,4.00,4.00,nothing,6.00,7.00,fights crime with his spider powers,4.00,4.00,nothing,7.00,6.00,fights crime in gotham ,4.00,4.00,nothing,7.00,6.00,fights crime with the xmen,4.00,4.00,nothing,,,1,LD,HC,LS,0,1,0,2.00,2.00,5.00,2.00,2.00,7.00,2.00,6.00,6.00,4.38,1.00,3.00,4.00,6.00,6.00,2.00,2.00,3.00,2.00,1.00,7.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,19.00,1.00,1.00,2.00,1.00,2.00,MAC,LD/HC/LS
R_9Fvd8q1J9cN96Ol,4.00,4.00,I don't know who Agent Orange is.,4.00,4.00,I know of spiderman and he looks cool but I haven't watched any of the movies or read the comics about him. ,4.00,4.00,I have no idea who Artemis is.,4.00,4.00,I know of Batman and he looks cool but I haven't watched any of the movies or read any of the comics about him. ,4.00,4.00,I've heard the name but I don't know who she is. ,4.00,4.00,My brother used to have an action figure of him but other than that I know nothing about him. ,4.00,4.00,I don't know who Static is. ,,,1,LD,LC,LS,0,0,0,4.00,2.00,7.00,4.00,5.00,4.00,2.00,4.00,6.00,5.00,2.00,3.00,2.00,5.00,6.00,6.00,4.00,3.00,3.00,3.00,4.00,1.00,1.00,1.00,1.00,1.00,3.00,2.00,1.00,3.00,4.00,5.00,1.00,5.00,18.00,1.00,2.00,1.00,2.00,,MAC,LD/LC/LS
R_Xunokr1vKnwaFfX,4.00,4.00,To be completely honest I don't know much about agent orange.  ,6.00,6.00,His name is Peter Parker. He was a high school student in New York turned super hero. Was given the abilities of a spider. Fights Villans that terrorize the city. ,4.00,4.00,Don't really know much about her. I think she may have something to do with Greek mythology. ,7.00,6.00,Super hero from Gotham City. Dresses as a bat and protects the city. Actual name is Bruce Wayne. ,4.00,4.00,"Have not really looked into the Scarlet Witch, don't really know who she is or what she does. ",7.00,6.00,"Part of the X-man, and the mutant race. Name is Logan, and he has the mutant ability of cat like knife claws that come out of his hands. ",4.00,4.00,Looks like a super hero. Have not heard of this character very much. Seems to have the power of electricity.  ,,,1,LD,LC,HS,0,0,1,2.00,3.00,2.00,2.00,4.00,3.00,5.00,2.00,2.00,1.00,3.00,1.00,4.00,5.00,7.00,5.00,5.00,2.00,1.00,1.00,1.00,4.00,5.00,1.00,5.00,6.00,4.00,3.00,2.00,2.00,2.00,3.00,2.00,2.00,19.00,1.00,1.00,1.00,1.00,2.00,MAC,LD/LC/HS
R_3P6InGdGnX3JU9h,4.00,4.00,I don't know anything about agent orange,5.00,5.00,He is a superhero with super powers,4.00,4.00,Do not know anything,5.00,5.00,He is a superhero for his town,4.00,4.00,No knowledge on this person,5.00,5.00,I know that he has sharp knives coming out of his hands,4.00,4.00,I do not know anything about static,,,1,HD,LC,HS,1,0,1,5.00,3.00,5.00,2.00,5.00,5.00,5.00,2.00,2.00,4.00,3.00,5.00,5.00,6.00,6.00,6.00,5.00,6.00,5.00,5.00,6.00,4.00,5.00,5.00,5.00,4.00,4.00,5.00,4.00,5.00,5.00,4.00,3.00,6.00,19.00,1.00,1.00,2.00,2.00,,MAC,HD/LC/HS
R_3fq6P8YLWMSM4MP,4.00,4.00,I actually know nothing about him,5.00,7.00,"HEs a regular kid who got bit by a spider. Still in HS. Good guy, like redheads",4.00,4.00,Dont know her,3.00,6.00,"Parent died, no actual powers. rich",4.00,4.00,Dont know her,7.00,7.00,"Fave superhero. Has an attitude, does mostly good but sometimes in not the best ways. ",4.00,4.00,dont know him,,,1,LD,LC,LS,0,0,0,2.00,6.00,6.00,2.00,2.00,6.00,2.00,6.00,6.00,7.00,1.00,6.00,2.00,2.00,7.00,5.00,5.00,3.00,2.00,2.00,6.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,3.00,6.00,2.00,3.00,20.00,1.00,2.00,3.00,2.00,,MAC,LD/LC/LS
R_1CJwD4S97O9id9L,4.00,4.00,Nothing,5.00,6.00,"Father killed when he was a child, raised by his aunt, got bit by a radioactive spider, fights local bad guys with his newfound powers",4.00,4.00,Nothing,5.00,5.00,"Parents killed when he was a child, tried to kill his parents' murderer, very wealthy, no real super powers",4.00,4.00,Nothing,5.00,4.00,"Has claws form an experiment, nothing else",4.00,4.00,Nothing,,,1,LD,HC,LS,0,1,0,7.00,6.00,6.00,2.00,5.00,6.00,2.00,6.00,5.00,4.38,2.00,5.00,6.00,6.00,6.00,7.00,6.00,6.00,2.00,1.00,6.00,2.00,2.00,2.00,3.00,2.00,5.00,2.00,2.00,1.00,3.00,5.00,1.00,4.00,20.00,1.00,2.00,3.00,1.00,2.00,MAC,LD/HC/LS
R_2uQK5uqRP60bO4B,4.00,4.00,"I don't know much about him, he probably fights crime and brings justice like the rest of the super heroes. He could also be a villain for all I know.",6.00,6.00,"I know that he got bit by a spider and got super powers. His uncle died which started his super hero actions. I also know that Toby Maguire, who is the original spiderman, is 5'8 and 41 years old.",7.00,5.00,I know that Artemis is the goddess for the hunting and archery. Her parents were Zeus and Leo,7.00,6.00,I know that Bruce Wayne's parents died when he was young and that his butler Alfred took care of him. Batman fights criminals and brings justice to the city of Gotham.,6.00,5.00,I know that she was in the second Avengers movie and started off bad but then joined the Avengers.,7.00,6.00,Hugh Jackman plays wolverine in what seems to be thousands of different movies. The Wolverine got adamantium injected in his body by some general and is basically immortal to some length.,4.00,4.00,I don't know much about him.,,,1,HD,LC,HS,1,0,1,6.00,6.00,6.00,2.00,2.00,6.00,6.00,2.00,2.00,3.00,2.00,5.00,5.00,4.00,5.00,3.00,4.00,3.00,3.00,1.00,4.00,4.00,5.00,3.00,3.00,5.00,5.00,5.00,3.00,1.00,5.00,5.00,2.00,3.00,20.00,1.00,1.00,2.00,1.00,2.00,MAC,HD/LC/HS
R_3D0CzNJKNaL3smm,4.00,5.00,"I do not know much about Agent Orange. I have heard the name being used in conversations or online, but have never checked the character out for myself. ",7.00,6.00,"I have seen the first movie and his character was very abnormal, but cool. My favorite scene is the one where he is hanging upside down in his grandmother's house as Spiderman while Green Goblin is there. The blood spat on the ground and the Goblin sensed it, causing tension because he was aware that another hero is in the room as well. ",3.00,4.00,Not familiar.,5.00,5.00,Not too much. ,3.00,3.00,Not much.,5.00,5.00,Not much.,6.00,4.00,Not much.,,,1,HD,LC,HS,1,0,1,2.00,6.00,6.00,5.00,3.00,6.00,6.00,3.00,5.00,3.00,2.00,5.00,4.00,4.00,4.00,5.00,3.00,5.00,3.00,4.00,3.00,4.00,3.00,5.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,5.00,3.00,5.00,21.00,13.00,1.00,4.00,1.00,3.00,MAC,HD/LC/HS
R_rcJGA6lxGwbP9kZ,4.00,5.00,I'm pretty sure it was a chemical used in the vietnam war,6.00,6.00,"fought crime, some viewed him as bad, but he always tried to do good",4.00,4.00,I dont know anything about Artemis,6.00,6.00,Batman fought crime in gotham city.  Somewhat of a vigilante ,4.00,4.00,I don't know anything about scarlet,5.00,3.00,He has the metal claws for knuckles,4.00,4.00,I dont know anything about static,,,1,HD,HC,LS,1,1,0,3.00,6.00,6.00,5.00,4.00,5.00,5.00,3.00,3.00,5.00,2.00,5.00,5.00,7.00,6.00,4.00,4.00,6.00,1.00,1.00,6.00,5.00,4.00,4.00,4.00,6.00,5.00,5.00,5.00,4.00,4.00,6.00,2.00,5.00,20.00,1.00,1.00,3.00,1.00,2.00,MAC,HD/HC/LS
R_3pfh8Pdjy93KRrb,4.00,4.00,I actually do not know who Agent Orange is. This is the first time I have seen him. ,5.00,6.00,I know that Spider-Man uses his powers to defeat evil. But he also uses his powers to be a strong superhero. ,4.00,4.00,This is the first time I have seen Artemis. ,6.00,3.00,I view Batman as someone who fights crime but does not do it for the good of the people. ,4.00,4.00,I do not know who Scarlet Witch is.,3.00,2.00,"From what I know, Wolverine is a villian that is very powerful.",4.00,4.00,I have never seen Static before. ,,,1,HD,HC,LS,1,1,0,3.00,5.00,5.00,3.00,5.00,6.00,6.00,2.00,3.00,1.00,2.00,3.00,5.00,5.00,4.00,6.00,6.00,6.00,2.00,2.00,6.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,2.00,5.00,3.00,2.00,6.00,21.00,1.00,2.00,4.00,2.00,,MAC,HD/HC/LS
R_1ON3V4u1wd0miik,4.00,4.00,"I have no idea who, or what Agent Orange is, or what he does.",5.00,6.00,"I know the general story line of Spider-Man. That he got bit by a spider to acquire his super powers, and uses them to save the city, and also win Mary Jane over.",4.00,4.00,Nothing.,6.00,5.00,"I do not know much about Batman, other than he has no super powers, but is rich. Which is how he is able to be a hero.",4.00,4.00,Nothing.,5.00,5.00,"I have very little knowledge of Wolverine. All I know is that he has some blades coming out of his hands, and he (normally) uses them for the greater good. ",4.00,4.00,Nothing.,,,1,LD,LC,HS,0,0,1,5.00,5.00,6.00,2.00,3.00,6.00,5.00,2.00,5.00,5.00,2.00,5.00,5.00,3.00,4.00,6.00,5.00,6.00,4.00,2.00,6.00,3.00,2.00,3.00,3.00,3.00,4.00,4.00,4.00,3.00,5.00,6.00,4.00,4.00,18.00,1.00,1.00,1.00,2.00,,MAC,LD/LC/HS
R_1dgeEWsdfI2A7OO,4.00,4.00,Nothing ,6.00,6.00,He was bit by a spider that caused him to be able to shoot webs out of his hands. ,4.00,4.00,Nothing ,6.00,6.00,Both his parents died when he was younger. ,4.00,4.00,Nothing ,5.00,5.00,Not much.,4.00,4.00,Nothing ,1,,,HD,HC,HS,1,1,1,5.00,7.00,3.00,2.00,5.00,6.00,6.00,2.00,3.00,2.00,2.00,4.00,4.00,5.00,5.00,6.00,6.00,2.00,2.00,3.00,4.00,3.00,3.00,2.00,3.00,5.00,5.00,5.00,5.00,3.00,3.00,5.00,2.00,5.00,20.00,1.00,2.00,3.00,1.00,2.00,ImperfectHero,HD/HC/HS
R_1iaEuzee675TlcO,3.00,3.00,nothing,6.00,6.00,hes good,3.00,3.00,bad,5.00,5.00,good,2.00,2.00,bad,5.00,5.00,good,5.00,5.00,good,1,,,HD,HC,HS,1,1,1,2.00,6.00,6.00,3.00,6.00,6.00,6.00,2.00,2.00,5.00,3.00,5.00,5.00,5.00,5.00,6.00,6.00,6.00,3.00,4.00,5.00,5.00,4.00,5.00,5.00,5.00,5.00,5.00,1.00,5.00,5.00,5.00,3.00,5.00,24.00,1.00,1.00,3.00,1.00,2.00,ImperfectHero,HD/HC/HS
R_3g5eoE8R8xoAh4d,4.00,5.00,nothing,6.00,7.00,he is a marvel hero,3.00,2.00,not much,7.00,7.00,coolest,4.00,2.00,seems like a villian,7.00,6.00,has metal in his blood,4.00,4.00,nothing,1,,,HD,HC,HS,1,1,1,2.00,6.00,1.00,6.00,5.00,6.00,6.00,2.00,2.00,7.00,1.00,6.00,5.00,6.00,5.00,2.00,4.00,4.00,3.00,2.00,5.00,5.00,5.00,4.00,5.00,3.00,5.00,3.00,3.00,3.00,5.00,3.00,3.00,5.00,21.00,1.00,1.00,3.00,1.00,2.00,ImperfectHero,HD/HC/HS
R_32SkwDu3tQKNYMz,3.00,6.00,agent orange looks like an orange version of Captain America,6.00,7.00,bitten by a spider. Love interests include Mary Jane and Gwen Stacy. Fights bad guys. fueled by his want for good in the world and justice system after his uncle is killed.,4.00,5.00,no idea who she is...possibly bad ,7.00,5.00,Batman is misunderstood. Although he has good intentions I feel like batman can sometimes do bad. The entire reason joker seeks to cause havoc in Gothom City is to get a rise out of batman. You can see a similar trend in many of his villains. Batman is probably one of the most iconic superheros of all time though. ,7.00,3.00,So based on the comic Scarlet Witch is not what she is in the Avengers Movie. In fact she is more badass and not as BAD. ,6.00,5.00,Wolverine is pissed off he was used as a scientific experimentation. Yes he was already born a mutant but because of Striker he gets all new metal exoskeleton. Because of this hate for humans (sometimes) Wolverine does not play well with others.  ,4.00,4.00,I have no idea who Static is. My dad would be disappointed ,1,,,HD,HC,HS,1,1,1,2.00,7.00,2.00,1.00,6.00,7.00,7.00,1.00,2.00,2.00,2.00,3.00,4.00,6.00,7.00,6.00,7.00,4.00,6.00,3.00,5.00,5.00,5.00,4.00,6.00,4.00,2.00,5.00,6.00,2.00,6.00,6.00,2.00,7.00,21.00,1.00,2.00,3.00,1.00,1.00,ImperfectHero,HD/HC/HS
R_1GwgKi8V4U7cFUZ,5.00,5.00,Nothing,6.00,6.00,He saves people when they are in danger and has webs that shoot from his wrists,6.00,3.00,Nothing,7.00,6.00,He is an orphan and he goes around gotham city trying to fight off the bad guys,6.00,5.00,Nothing,5.00,5.00,He has claws that come from his hands,3.00,5.00,Nothing,1,,,HD,HC,HS,1,1,1,5.00,7.00,5.00,5.00,5.00,7.00,7.00,3.00,3.00,5.00,2.00,4.00,6.00,6.00,6.00,5.00,7.00,2.00,3.00,2.00,7.00,6.00,6.00,5.00,5.00,6.00,6.00,6.00,6.00,3.00,5.00,5.00,2.00,5.00,19.00,1.00,2.00,2.00,2.00,,ImperfectHero,HD/HC/HS
R_z8pzLT7YNBpkU7L,4.00,3.00,The shadows and spikes add a level of danger to him.,6.00,7.00,He is a little-kid hero. He is a good guy that humbly helps those in need. He also has a cute love story.,6.00,5.00,"Her pink clothes, visible eyes, and red hair make her look good. ",6.00,7.00,Batman helps those in need and is a normal human under the costume.,3.00,2.00,She looks bad because of her eyes and bright lighting surrounding her- making it look like she has powers. ,4.00,4.00,I recognize the name but know nothing about the character at all.,4.00,4.00,I have never heard of this character or have any information on it.,1,,,HD,HC,HS,1,1,1,2.00,3.00,2.00,6.00,3.00,6.00,6.00,3.00,3.00,5.00,1.00,5.00,5.00,4.00,5.00,5.00,6.00,4.00,4.00,5.00,5.00,4.00,3.00,4.00,5.00,4.00,5.00,3.00,6.00,5.00,3.00,2.00,2.00,3.00,19.00,1.00,2.00,3.00,2.00,,ImperfectHero,HD/HC/HS
R_2fD8yDjOR9crAUY,4.00,4.00,I do not know Agent Orange.,5.00,5.00,I know he was bitten by a spider and gained super powers. ,4.00,4.00,I do not know Artemis.,5.00,5.00,I know there are a lot of different Batman movies. ,4.00,4.00,I do not know Scarlet Witch.,4.00,4.00,I know Wolverine is a part of X-Men. ,4.00,4.00,I do not know Static. ,1,,,HD,HC,HS,1,1,1,2.00,6.00,6.00,2.00,2.00,1.00,1.00,2.00,2.00,6.00,2.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,6.00,6.00,7.00,2.00,2.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,6.00,2.00,3.00,21.00,2.00,2.00,4.00,2.00,,ImperfectHero,HD/HC/HS
R_3nJJRxkh7k8gaOu,4.00,4.00,Nothing,4.00,4.00,He can shoot webs from his hands,4.00,4.00,Nothing,5.00,6.00,He has a partner named Robin,4.00,4.00,Nothing,4.00,4.00,Nothing,4.00,4.00,Nothing,1,,,HD,HC,HS,1,1,1,1.00,6.00,6.00,4.00,3.00,6.00,6.00,2.00,4.00,5.00,2.00,4.00,4.00,6.00,7.00,7.00,7.00,4.00,2.00,2.00,7.00,4.00,4.00,4.00,4.00,2.00,2.00,2.00,2.00,4.00,5.00,5.00,2.00,4.00,22.00,1.00,2.00,4.00,2.00,,ImperfectHero,HD/HC/HS
